timestamp,x,y,z,yaw,lidar_altitude,traj_x,traj_y,traj_z,traj_yaw,mode,arm,aruco id,servo pos,precision descend done
1744660630.8592753,1.061287760734558,-0.9160654544830322,-0.35773009061813354,-3.141536507275176,,nan,nan,nan,-3.1407692432403564,23,True,1,2816,True
1744660630.8677206,1.0611985921859741,-0.91533362865448,-0.3567796051502228,-3.1415242449107654,,0.8059369325637817,-0.646163821220398,-0.20957794785499573,-3.1414332389831543,23,True,1,2816,True
1744660630.8788264,1.0610377788543701,-0.9138918519020081,-0.3549485206604004,-3.1415034446704873,,0.8059369325637817,-0.646163821220398,-0.20957794785499573,-3.1414332389831543,23,True,1,2816,True
1744660630.886769,1.0606043338775635,-0.913339376449585,-0.3540320098400116,-3.141492498540166,,nan,nan,nan,-3.1407110691070557,23,True,1,2816,True
1744660630.9003272,1.0601855516433716,-0.9127891063690186,-0.3531302809715271,-3.1414841508626203,,nan,nan,nan,-3.1407110691070557,23,True,1,2816,True
1744660630.9076312,1.0597813129425049,-0.9122411012649536,-0.3522288501262665,-3.141477607007789,,nan,nan,nan,-3.1407110691070557,23,True,1,2816,True
1744660630.9191506,1.0590150356292725,-0.9111508727073669,-0.3503943681716919,-3.14146871564987,,nan,nan,nan,-3.1407110691070557,23,True,1,2816,True
1744660630.9273663,1.058651328086853,-0.9106082916259766,-0.3494809567928314,-3.1414658171967584,,nan,nan,nan,-3.139935255050659,23,True,1,2816,True
1744660630.9393964,1.0583082437515259,-0.9100691080093384,-0.3485857844352722,-3.141464118222912,,nan,nan,nan,-3.139935255050659,23,True,1,2816,True
1744660630.9470088,1.057976484298706,-0.9095311760902405,-0.3477131426334381,-3.141462189256544,,nan,nan,nan,-3.139935255050659,23,True,1,2816,True
1744660630.9598975,1.057344675064087,-0.9084585309028625,-0.3460428714752197,-3.141457745560293,,nan,nan,nan,-3.139935255050659,23,True,1,2816,True
1744660630.9674902,1.057044267654419,-0.9079237580299377,-0.34524738788604736,-3.1414548739210693,,0.8010058999061584,-0.6384335160255432,-0.19983434677124023,-3.1414332389831543,23,True,1,2816,True
1744660630.9791586,1.0567541122436523,-0.9073900580406189,-0.3444783389568329,-3.14145265494699,,0.8010058999061584,-0.6384335160255432,-0.19983434677124023,-3.1414332389831543,23,True,1,2816,True
1744660630.9868982,1.056473970413208,-0.9068574905395508,-0.3437272012233734,-3.141450932024934,,nan,nan,nan,-3.139162302017212,23,True,1,2816,True
1744660630.9998639,1.0559437274932861,-0.9057961106300354,-0.34228959679603577,-3.1414491973585617,,nan,nan,nan,-3.139162302017212,23,True,1,2816,True
1744660631.0075345,1.055613398551941,-0.9051868915557861,-0.34115955233573914,-3.1414506529980146,,nan,nan,nan,-3.1399238109588623,23,True,1,2816,True
1744660631.0197911,1.055294394493103,-0.9045817255973816,-0.3400630056858063,-3.1414538728986066,,nan,nan,nan,-3.1399238109588623,23,True,1,2816,True
1744660631.0273063,1.0549860000610352,-0.9039806723594666,-0.33903780579566956,-3.1414547786833307,,nan,nan,nan,-3.1399238109588623,23,True,1,2816,True
1744660631.0397644,1.0543986558914185,-0.9027904868125916,-0.3372754752635956,-3.1414586620054616,,nan,nan,nan,-3.1399238109588623,23,True,1,2816,True
1744660631.04727,1.0541191101074219,-0.9022011756896973,-0.33655524253845215,-3.141459032373042,,nan,nan,nan,-3.1400115489959717,23,True,1,2816,True
1744660631.0595975,1.0538486242294312,-0.9016159176826477,-0.33594751358032227,-3.1414585118933824,,nan,nan,nan,-3.1400115489959717,23,True,1,2816,True
1744660631.0683653,1.053587555885315,-0.9010347127914429,-0.33545148372650146,-3.1414576283286078,,0.7966324090957642,-0.6315187215805054,-0.19142311811447144,-3.1414332389831543,23,True,1,2816,True
1744660631.0793676,1.0530695915222168,-0.8998898267745972,-0.3347839415073395,-3.1414530959920803,,0.7966324090957642,-0.6315187215805054,-0.19142311811447144,-3.1414332389831543,23,True,1,2816,True
1744660631.0873344,1.0528250932693481,-0.8993241190910339,-0.33460402488708496,-3.1414479298639066,,nan,nan,nan,-3.1400339603424072,23,True,1,2816,True
1744660631.1004384,1.0525904893875122,-0.8987628221511841,-0.3344995975494385,-3.141442483001853,,nan,nan,nan,-3.1400339603424072,23,True,1,2816,True
1744660631.107365,1.052365779876709,-0.8982058763504028,-0.3344269096851349,-3.1414374002884093,,nan,nan,nan,-3.1406633853912354,23,True,1,2816,True
1744660631.119647,1.0519452095031738,-0.8971043229103088,-0.3344067931175232,-3.1414295642180825,,nan,nan,nan,-3.1406633853912354,23,True,1,2816,True
1744660631.1288657,1.0517486333847046,-0.8965598940849304,-0.3344876766204834,-3.141425045972956,,nan,nan,nan,-3.1406633853912354,23,True,1,2816,True
1744660631.1403604,1.0513029098510742,-0.8959280252456665,-0.3346194922924042,-3.141420360536528,,nan,nan,nan,-3.1406633853912354,23,True,1,2816,True
1744660631.1481888,1.050877332687378,-0.8953059315681458,-0.3348219394683838,-3.1414161295220695,,nan,nan,nan,-3.1406991481781006,23,True,1,2816,True
1744660631.1601143,1.0504649877548218,-0.8946892023086548,-0.3350953459739685,-3.141403993729991,,nan,nan,nan,-3.1406991481781006,23,True,1,2816,True
1744660631.170124,1.0496792793273926,-0.8934714794158936,-0.33583536744117737,-3.141383116717479,,0.7929183840751648,-0.6251592040061951,-0.19010107219219208,-3.1414332389831543,23,True,1,2816,True
1744660631.180429,1.049306035041809,-0.8928706049919128,-0.33630573749542236,-3.141373221541242,,0.7929183840751648,-0.6251592040061951,-0.19010107219219208,-3.1414332389831543,23,True,1,2816,True
1744660631.1883929,1.0489455461502075,-0.892275333404541,-0.3368384540081024,-3.1413637664136633,,nan,nan,nan,-3.139874219894409,23,True,1,2816,True
1744660631.2006648,1.0482630729675293,-0.891100287437439,-0.3379848003387451,-3.141345378661916,,nan,nan,nan,-3.139874219894409,23,True,1,2816,True
1744660631.208764,1.0479404926300049,-0.8905203342437744,-0.3385624885559082,-3.141336113312559,,nan,nan,nan,-3.139986991882324,23,True,1,2816,True
1744660631.2205706,1.0475845336914062,-0.8899453282356262,-0.33916300535202026,-3.1413261855256844,,nan,nan,nan,-3.139986991882324,23,True,1,2816,True
1744660631.228808,1.0472404956817627,-0.8893753886222839,-0.339790403842926,-3.1413136568734354,,nan,nan,nan,-3.139986991882324,23,True,1,2816,True
1744660631.2409701,1.0465861558914185,-0.8882496356964111,-0.3411725163459778,-3.1412831177715095,,nan,nan,nan,-3.139986991882324,23,True,1,2816,True
1744660631.2487168,1.0462753772735596,-0.8876938819885254,-0.3419317901134491,-3.141268194203945,,nan,nan,nan,-3.140484571456909,23,True,1,2816,True
1744660631.2619846,1.0458272695541382,-0.8873659372329712,-0.3426058292388916,-3.1412512462770543,,nan,nan,nan,-3.140484571456909,23,True,1,2816,True
1744660631.2688072,1.045392394065857,-0.8870378136634827,-0.3433293402194977,-3.141236488248535,,0.7886378765106201,-0.618881344795227,-0.19506043195724487,-3.1414332389831543,23,True,1,2816,True
