timestamp,error_x,error_y,integral_x,integral_y,vx,vy,drone_x,drone_y,tag_x,tag_y,above_ground_z,target_z
4.42067,0.0206245,0.00284722,-0.691613,1.36497,-0.0144372,-0.00199305,-0.935341,-0.724538,-0.955966,-0.727385,4.38248,0.6
4.44063,0.0214559,0.00432351,-0.670157,1.36929,-0.0150191,-0.00302646,-0.932984,-0.726749,-0.95444,-0.731073,4.38248,0.6
4.44066,0.0214559,0.00432351,-0.648701,1.37361,-0.0150191,-0.00302646,-0.932984,-0.726749,-0.95444,-0.731073,4.38248,0.6
4.46082,0.0229502,0.00292763,-0.625751,1.37654,-0.0160652,-0.00204934,-0.93149,-0.728145,-0.95444,-0.731073,4.38248,0.6
4.46084,0.0229502,0.00292763,-0.602801,1.37947,-0.0160652,-0.00204934,-0.93149,-0.728145,-0.95444,-0.731073,4.38248,0.6
4.48062,0.0229446,0.00634366,-0.579856,1.38581,-0.0160612,-0.00444056,-0.929348,-0.730119,-0.952292,-0.736463,4.31901,0.6
4.48063,0.0229446,0.00634366,-0.556911,1.39216,-0.0160612,-0.00444056,-0.929348,-0.730119,-0.952292,-0.736463,4.31901,0.6
4.50067,0.0243097,0.00510311,-0.532602,1.39726,-0.0170168,-0.00357217,-0.927982,-0.73136,-0.952292,-0.736463,4.31901,0.6
4.50068,0.0243097,0.00510311,-0.508292,1.40236,-0.0170168,-0.00357217,-0.927982,-0.73136,-0.952292,-0.736463,4.31901,0.6
4.52065,0.0243083,0.0068869,-0.483984,1.40925,-0.0170158,-0.00482083,-0.926928,-0.733094,-0.951236,-0.739981,4.38248,0.6
4.52067,0.0243083,0.0068869,-0.459675,1.41614,-0.0170158,-0.00482083,-0.926928,-0.733094,-0.951236,-0.739981,4.38248,0.6
4.54074,0.0249918,0.00578958,-0.434683,1.42193,-0.0174943,-0.00405271,-0.926244,-0.734192,-0.951236,-0.739981,4.38248,0.6
4.54076,0.0249918,0.00578958,-0.409692,1.42771,-0.0174943,-0.00405271,-0.926244,-0.734192,-0.951236,-0.739981,4.38248,0.6
4.56067,0.0259409,0.00693596,-0.383751,1.43465,-0.0181586,-0.00485517,-0.925249,-0.735754,-0.95119,-0.74269,4.38248,0.6
4.56068,0.0259409,0.00693596,-0.35781,1.44159,-0.0181586,-0.00485517,-0.925249,-0.735754,-0.95119,-0.74269,4.38248,0.6
4.58065,0.0258854,0.0103227,-0.331924,1.45191,-0.0181198,-0.00722588,-0.924604,-0.73672,-0.950489,-0.747043,4.31896,0.6
4.58066,0.0258854,0.0103227,-0.306039,1.46223,-0.0181198,-0.00722588,-0.924604,-0.73672,-0.950489,-0.747043,4.31896,0.6
4.60069,0.0268212,0.00895052,-0.279218,1.47118,-0.0187748,-0.00626536,-0.923668,-0.738093,-0.950489,-0.747043,4.31896,0.6
4.6007,0.0268212,0.00895052,-0.252397,1.48013,-0.0187748,-0.00626536,-0.923668,-0.738093,-0.950489,-0.747043,4.31896,0.6
4.62068,0.0264449,0.0115311,-0.225952,1.49166,-0.0185114,-0.00807179,-0.923065,-0.738957,-0.94951,-0.750489,4.31842,0.6
4.6207,0.0264449,0.0115311,-0.199507,1.5032,-0.0185114,-0.00807179,-0.923065,-0.738957,-0.94951,-0.750489,4.31842,0.6
4.64065,0.0267854,0.0119289,-0.172722,1.51512,-0.0187498,-0.00835025,-0.921727,-0.740113,-0.948512,-0.752042,4.38248,0.6
